rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
646	IGSF5	ENSG00000183067	Q9NSI5	core_surfaceome	safety_first	0.280631	1.000000		0		0.400000	0.295733	0.446382	0.248980	0.508944	not_available		0.936182	0.048000	0.044360	0.098204	-0.069714	0.066163		0.093618	0.294212	0.483080	0.310390	0.240000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	heart	lower_risk_by_current_normal_expression
647	TRAT1	ENSG00000163519	Q6PIZ9	core_surfaceome	safety_first	0.280552	1.000000		0		0.600000	0.536178	0.548423	0.364564	0.808832	not_available		0.044025	0.072000	0.080427	0.120653	-0.102078	0.105148		0.004403	0.538627	0.557143	0.800000	0.475926	0.582891	high_purity_adjusted_tme_correlation	D	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
648	HTR1F	ENSG00000179097	P30939	core_surfaceome	safety_first	0.280480	1.000000		0		0.400000	0.226716	0.771058	0.085343	0.047513	not_available		0.465594	0.048000	0.034007	0.169633	-0.023896	0.006177		0.046559	0.217291	0.675232	0.000000	0.000000	0.770812	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
649	STX4	ENSG00000103496	Q12846	core_surfaceome	safety_first	0.280461	1.000000		0		0.400000	0.913173	0.463451	0.470501	0.937116	not_available		0.034406	0.048000	0.136976	0.101959	-0.131740	0.121825		0.003441	0.906716	0.494805	0.850000	0.613611	0.497630	low_uncorrected_tme_correlation	D	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
650	CALCR	ENSG00000004948	P30988	core_surfaceome	safety_first	0.280191	1.000000		0		0.400000	0.279035	0.478664	0.233581	0.698994	not_available		0.595634	0.048000	0.041855	0.105306	-0.065403	0.090869		0.059563	0.278720	0.504156	0.249536	0.375000	0.854324	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
651	SLC8B1	ENSG00000089060	Q6J4K2	core_surfaceome	safety_first	0.280119	1.000000		0		0.400000	0.858627	0.655288	0.364564	0.307434	not_available		0.212727	0.048000	0.128794	0.144163	-0.102078	0.039966		0.021273	0.866234	0.608942	0.800000	0.191515	0.744355	low_uncorrected_tme_correlation	C	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
652	FLRT3	ENSG00000125848	Q9NZU0	core_surfaceome	safety_first	0.279883	1.000000		0		0.600000	0.696475	0.690909	0.599629	0.828675	not_available		0.115797	0.072000	0.104471	0.152000	-0.167896	0.107728		0.011580	0.701985	0.625195	0.900000	0.492424	0.712500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	kidney	high_critical_off_tumor_risk
653	VSIR	ENSG00000107738	Q9H7M9	core_surfaceome	safety_first	0.279771	0.870000	P	1	P	0.400000	0.940445	0.556215	0.470501		not_available		0.637070	0.048000	0.141067	0.122367	-0.131740			0.063707	0.928571	0.561707	0.850000		0.862500	high_purity_adjusted_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	lung	high_critical_off_tumor_risk
654	ACVR1C	ENSG00000123612	Q8NER5	core_surfaceome	safety_first	0.279693	1.000000		0		0.400000	0.478664	0.699443	0.243970	0.123533	not_available		0.582686	0.048000	0.071800	0.153877	-0.068312	0.016059		0.058269	0.477996	0.629685	0.270501	0.023611	0.843180	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;antibody_low_confidence;CPTAC_not_assessed	liver	lower_risk_by_current_normal_expression
655	GPR107	ENSG00000148358	Q5VW38	core_surfaceome	safety_first	0.279547	1.000000		0		0.400000	0.867161	0.919109	0.832282	0.541643	not_available		0.618942	0.048000	0.130074	0.202204	-0.233039	0.070414		0.061894	0.870501	0.818219	1.000000	0.253333	0.862500	high_purity_adjusted_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
