rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
1173	OR8D2	ENSG00000279116	Q9GZM6	core_surfaceome	novelty_focused	0.303798	0.860000	P	1	P	0.400000	0.110761	0.735807	0.085343		not_available		0.319460	0.068000	0.019937	0.147161	-0.015362			0.041530	0.093061	0.649573	0.000000		0.750002	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1174	IL17RC	ENSG00000163702	Q8NAC3	core_surfaceome	novelty_focused	0.303680	1.000000		0		0.400000	0.846011	0.409647	0.599629	0.317496	not_available		0.499630	0.068000	0.152282	0.081929	-0.107933	0.044449		0.064952	0.851391	0.451020	0.900000	0.198333	0.782500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
1175	KLRD1	ENSG00000134539	Q13241	core_surfaceome	novelty_focused	0.303558	1.000000		0		0.200000	0.584787	0.642115	0.364564	0.047513	not_available		0.729560	0.034000	0.105262	0.128423	-0.065622	0.006652		0.094843	0.586271	0.605232	0.800000	0.000000	0.931968	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	antibody_low_confidence;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
1176	ERMAP	ENSG00000164010	Q96PL5	core_surfaceome	novelty_focused	0.303551	1.000000		0		0.400000	0.693135	0.317996	0.599629	0.299329	not_available		0.870884	0.068000	0.124764	0.063599	-0.107933	0.041906		0.113215	0.699852	0.375213	0.900000	0.184444	0.955600	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	liver	high_critical_off_tumor_risk
1177	GPR33	ENSG00000214943	Q49SQ1	core_surfaceome	novelty_focused	0.303385	0.860000	P	1	P	0.400000	0.156772	0.631540	0.085343		not_available		0.413430	0.068000	0.028219	0.126308	-0.015362			0.053746	0.124230	0.601150	0.000000		0.756742	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1178	NTSR1	ENSG00000101188	P30989	core_surfaceome	novelty_focused	0.303301	0.860000	P	1	P	0.600000	0.447124	0.346568	0.290167		not_available		0.471328	0.102000	0.080482	0.069314	-0.052230			0.061273	0.448961	0.396252	0.700000		0.773199	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
1179	OR1G1	ENSG00000183024	P47890	core_surfaceome	novelty_focused	0.303222	0.860000	P	1	P	0.400000	0.138404	0.677551	0.085343		not_available		0.367000	0.068000	0.024913	0.135510	-0.015362			0.047710	0.114991	0.619239	0.000000		0.751038	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1180	F3	ENSG00000117525	P13726	core_surfaceome	novelty_focused	0.303156	1.000000		0		0.400000	0.880148	0.335436	0.832282	0.611794	not_available		0.567703	0.068000	0.158427	0.067087	-0.149811	0.085651		0.073801	0.880093	0.385937	1.000000	0.271944	0.832500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1181	CEACAM8	ENSG00000124469	P31997	core_surfaceome	novelty_focused	0.303126	1.000000		0		0.400000	0.259369	0.241187	0.364564	0.673002	not_available		0.858491	0.068000	0.046686	0.048237	-0.065622	0.094220		0.111604	0.256160	0.311558	0.800000	0.322222	0.950000	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
1182	DAGLA	ENSG00000134780	Q9Y4D2	core_surfaceome	novelty_focused	0.303075	1.000000		0		0.400000	0.675696	0.851948	0.832282	0.610117	not_available		0.057344	0.068000	0.121625	0.170390	-0.149811	0.085416		0.007455	0.682616	0.742375	1.000000	0.271481	0.615217	low_uncorrected_tme_correlation	D	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1183	OR11G2	ENSG00000196832	Q8NGC1	core_surfaceome	novelty_focused	0.303067	0.860000	P	1	P	0.400000	0.106679	0.642672	0.085343		not_available		0.463559	0.068000	0.019202	0.128534	-0.015362			0.060263	0.092356	0.605306	0.000000		0.770155	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1184	OR11H1	ENSG00000130538	Q8NG94	core_surfaceome	novelty_focused	0.302988	0.860000	P	1	P	0.400000	0.095918	0.684601	0.085343		not_available		0.413430	0.068000	0.017265	0.136920	-0.015362			0.053746	0.090538	0.622690	0.000000		0.756742	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1185	GABRR3	ENSG00000183185	A8MPY1	core_surfaceome	novelty_focused	0.302848	0.860000	P	1	P	0.400000	0.067904	0.541002	0.085343		not_available		0.672216	0.068000	0.012223	0.108200	-0.015362			0.087388	0.086827	0.550649	0.000000		0.892500	low_uncorrected_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	missing_stomach_cancer_ihc	HPA_missing;antibody_low_confidence;CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
1186	LRRC37A	ENSG00000176681	A6NMS7	core_surfaceome	novelty_focused	0.302553	1.000000		0		0.200000	0.525417	0.309462	0.263636	0.270263	not_available		0.936182	0.034000	0.094575	0.061892	-0.047455	0.037837		0.121704	0.525955	0.368089	0.600000	0.170000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	reproductive_other	moderate_off_tumor_risk
1187	LRP8	ENSG00000157193	Q14114	core_surfaceome	novelty_focused	0.302491	1.000000		0		0.400000	0.708349	0.891280	0.832282	0.486305	not_available		0.080466	0.068000	0.127503	0.178256	-0.149811	0.068083		0.010461	0.713265	0.787904	1.000000	0.231818	0.682500	low_uncorrected_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1188	TMEM8B	ENSG00000137103	A6NDV4	core_surfaceome	novelty_focused	0.302424	1.000000		0		0.400000	0.778479	0.393692	0.832282	0.606484	not_available		0.618942	0.068000	0.140126	0.078738	-0.149811	0.084908		0.080462	0.782115	0.437180	1.000000	0.270000	0.862500	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
1189	LIFR	ENSG00000113594	P42702	core_surfaceome	novelty_focused	0.302343	1.000000		0		0.400000	0.613729	0.259740	0.599629	0.693125	not_available		0.637070	0.068000	0.110471	0.051948	-0.107933	0.097038		0.082819	0.617570	0.326197	0.900000	0.360278	0.862500	watchlist_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	liver	high_critical_off_tumor_risk
1190	MRGPRX2	ENSG00000183695	Q96LB1	core_surfaceome	novelty_focused	0.302056	1.000000		0		0.400000	0.122635	0.517996	0.085343	0.439352	not_available		0.478727	0.068000	0.022074	0.103599	-0.015362	0.061509		0.062235	0.106197	0.537124	0.000000	0.217273	0.776728	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
