rank	hgnc_symbol	ensembl_gene_id	uniprot_accession	surfaceome_category	scenario	scenario_score	available_weight_sum	missing_weighted_components	n_missing_mvp_score_components	missing_mvp_score_components	Surf_relative_confidence	E_rank_percentile	N_rank_percentile	R_rank_percentile_high_worse	P_rank_percentile	SC_status	SC_rank_percentile	T_rank_percentile	Surf_contribution	E_contribution	N_contribution	R_contribution_subtracted	P_contribution	SC_contribution	T_contribution	E_score	N_score	R_score	P_score	T_score	tme_contamination_risk	accessibility_class	isoform_resolution_status	hpa_evidence_status	discordance_flags	max_risk_organ	risk_interpretation
629	IL1RAP	ENSG00000196083	Q9NPH3	core_surfaceome	protein_first	0.373368	1.000000		0		0.400000	0.704267	0.554360	0.599629	0.662940	not_available		0.567703	0.060000	0.105640	0.099785	-0.107933	0.159106		0.056770	0.710724	0.560111	0.900000	0.310833	0.832500	high_purity_adjusted_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	liver	high_critical_off_tumor_risk
630	CALCR	ENSG00000004948	P30988	core_surfaceome	protein_first	0.373292	1.000000		0		0.400000	0.279035	0.478664	0.233581	0.698994	not_available		0.595634	0.060000	0.041855	0.086160	-0.042045	0.167759		0.059563	0.278720	0.504156	0.249536	0.375000	0.854324	low_uncorrected_tme_correlation	B	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	lower_risk_by_current_normal_expression
631	LTB4R2	ENSG00000213906	Q9NPC1	core_surfaceome	protein_first	0.372877	1.000000		0		0.600000	0.551391	0.159184	0.364564	0.906372	not_available		0.196078	0.090000	0.082709	0.028653	-0.065622	0.217529		0.019608	0.552375	0.237217	0.800000	0.562424	0.741886	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	high_critical_off_tumor_risk
632	ATP6V0A2	ENSG00000185344	Q9Y487	core_surfaceome	protein_first	0.372741	1.000000		0		0.200000	0.814100	0.846382	0.832282	0.897988	not_available		0.025712	0.030000	0.122115	0.152349	-0.149811	0.215517		0.002571	0.815510	0.734917	1.000000	0.549630	0.350000	high_purity_adjusted_tme_correlation	E	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	brain	high_critical_off_tumor_risk
633	ATP4B	ENSG00000186009	P51164	core_surfaceome	protein_first	0.372659	1.000000		0		0.600000	0.368089	0.016698	0.290167	0.762717	not_available		0.936182	0.090000	0.055213	0.003006	-0.052230	0.183052		0.093618	0.364508	0.107347	0.700000	0.450000	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
634	SCART1	ENSG00000214279	Q4G0T1	core_surfaceome	protein_first	0.372651	1.000000		0		0.400000	0.469202	0.383302	0.223006	0.499162	not_available		0.936182	0.060000	0.070380	0.068994	-0.040141	0.119799		0.093618	0.468033	0.429091	0.227681	0.236667	0.962500	low_uncorrected_tme_correlation	A	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	hematopoietic	lower_risk_by_current_normal_expression
635	TM9SF4	ENSG00000101337	Q92544	core_surfaceome	protein_first	0.372607	1.000000		0		0.200000	0.932839	0.965121	0.832282	0.464785	not_available		0.672216	0.030000	0.139926	0.173722	-0.149811	0.111548		0.067222	0.923191	0.872801	1.000000	0.223333	0.892500	high_purity_adjusted_tme_correlation	B	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	protein_present_no_membrane;CPTAC_not_assessed	brain	high_critical_off_tumor_risk
636	NMUR1	ENSG00000171596	Q9HB89	core_surfaceome	protein_first	0.372401	1.000000		0		0.400000	0.437477	0.502783	0.225232	0.624930	not_available		0.468368	0.060000	0.065622	0.090501	-0.040542	0.149983		0.046837	0.440464	0.523822	0.234814	0.277037	0.772009	moderate_residual_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	RNA_low_protein_present;protein_present_no_membrane;CPTAC_not_assessed	lung	lower_risk_by_current_normal_expression
637	MRGPRF	ENSG00000172935	Q96AM1	core_surfaceome	protein_first	0.372312	1.000000		0		0.600000	0.735065	0.152134	0.470501	0.783399	not_available		0.413430	0.090000	0.110260	0.027384	-0.084690	0.188016		0.041343	0.739147	0.231354	0.850000	0.456667	0.756742	high_purity_adjusted_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	endothelial	high_critical_off_tumor_risk
638	FCAR	ENSG00000186431	P24071	core_surfaceome	protein_first	0.372160	1.000000		0		0.600000	0.421150	0.263451	0.470501	0.831191	not_available		0.567703	0.090000	0.063173	0.047421	-0.084690	0.199486		0.056770	0.421800	0.328738	0.850000	0.496389	0.832500	moderate_residual_tme_correlation	A	multiple_uniprot_isoforms_mapped_not_resolved	stomach_cancer_ihc_available	CPTAC_not_assessed	lung	high_critical_off_tumor_risk
639	GPR39	ENSG00000183840	O43194	core_surfaceome	protein_first	0.372080	1.000000		0		0.400000	0.703896	0.910204	0.290167	0.220794	not_available		0.418979	0.060000	0.105584	0.163837	-0.052230	0.052991		0.041898	0.710204	0.809202	0.700000	0.140000	0.757618	low_uncorrected_tme_correlation	C	not_isoform_critical_or_single_canonical_mapping	stomach_cancer_ihc_available	CPTAC_not_assessed	gi_epithelial	moderate_off_tumor_risk
