gene_id	variance
ENSG00000137251.15	25.95115089416504
ENSG00000235119.1	25.884641647338867
ENSG00000203812.2	25.870641708374023
ENSG00000147381.11	25.86528778076172
ENSG00000164326.4	25.78564453125
ENSG00000258677.2	25.78031349182129
ENSG00000259939.1	25.74766731262207
ENSG00000258656.1	25.735822677612305
ENSG00000278852.1	25.69957733154297
ENSG00000276771.1	25.698440551757812
ENSG00000243352.3	25.684085845947266
ENSG00000280510.1	25.678966522216797
ENSG00000273962.1	25.656452178955078
ENSG00000277624.1	25.654521942138672
ENSG00000144785.8	25.642974853515625
ENSG00000275479.1	25.609050750732422
ENSG00000211654.2	25.588340759277344
ENSG00000280547.1	25.568140029907227
ENSG00000253187.2	25.56793785095215
ENSG00000244528.1	25.543479919433594
ENSG00000125999.10	25.52547836303711
ENSG00000262660.1	25.516136169433594
ENSG00000278771.1	25.492177963256836
ENSG00000198788.8	25.45528221130371
ENSG00000239912.1	25.450881958007812
ENSG00000235449.2	25.41791343688965
ENSG00000239862.1	25.360496520996094
ENSG00000251039.2	25.325843811035156
ENSG00000239571.1	25.322343826293945
ENSG00000270149.5	25.30893325805664
ENSG00000205361.8	25.297649383544922
ENSG00000261431.1	25.281280517578125
ENSG00000206811.1	25.28120994567871
ENSG00000275121.1	25.267637252807617
ENSG00000279812.1	25.259151458740234
ENSG00000106384.10	25.252933502197266
ENSG00000257386.1	25.215654373168945
ENSG00000129455.15	25.155981063842773
ENSG00000237978.5	25.113889694213867
ENSG00000256861.1	25.0817813873291
ENSG00000280818.1	25.076377868652344
ENSG00000256148.1	25.07485008239746
ENSG00000254719.1	25.061649322509766
ENSG00000241224.6	25.001230239868164
ENSG00000199879.1	24.982738494873047
ENSG00000269941.1	24.964813232421875
ENSG00000260892.1	24.929157257080078
ENSG00000253818.1	24.926294326782227
ENSG00000197408.8	24.907991409301758
ENSG00000169469.8	24.885366439819336
ENSG00000034971.14	24.841787338256836
ENSG00000269987.1	24.841005325317383
ENSG00000211946.3	24.83509063720703
ENSG00000105388.14	24.8247127532959
ENSG00000281851.1	24.817615509033203
ENSG00000263970.1	24.794891357421875
ENSG00000253364.1	24.759580612182617
ENSG00000269032.1	24.7575740814209
ENSG00000269971.1	24.722585678100586
ENSG00000255464.1	24.713027954101562
ENSG00000273275.1	24.66922950744629
ENSG00000205944.11	24.663713455200195
ENSG00000277578.1	24.66294288635254
ENSG00000260007.1	24.632801055908203
ENSG00000099725.14	24.581806182861328
ENSG00000280400.1	24.569913864135742
ENSG00000212402.1	24.567459106445312
ENSG00000196344.11	24.563053131103516
ENSG00000263639.5	24.553470611572266
ENSG00000136698.8	24.547243118286133
ENSG00000267458.1	24.540292739868164
ENSG00000251151.2	24.532461166381836
ENSG00000171557.16	24.52788734436035
ENSG00000231475.3	24.48363494873047
ENSG00000222037.5	24.482145309448242
ENSG00000212232.1	24.47951889038086
ENSG00000229637.3	24.478954315185547
ENSG00000273897.1	24.470951080322266
ENSG00000255126.1	24.458812713623047
ENSG00000263917.1	24.454530715942383
ENSG00000275634.1	24.40449333190918
ENSG00000231412.2	24.403982162475586
ENSG00000204610.12	24.370229721069336
ENSG00000128610.11	24.340524673461914
ENSG00000242766.1	24.335721969604492
ENSG00000124939.5	24.327516555786133
ENSG00000067646.11	24.327436447143555
ENSG00000183878.15	24.326608657836914
ENSG00000249908.2	24.31800079345703
ENSG00000265735.2	24.30511474609375
ENSG00000175535.6	24.27959442138672
ENSG00000165246.12	24.26685905456543
ENSG00000211685.3	24.255128860473633
ENSG00000278592.1	24.234914779663086
ENSG00000160181.8	24.2235050201416
ENSG00000254609.1	24.207862854003906
ENSG00000269711.1	24.202356338500977
ENSG00000255513.1	24.19388198852539
ENSG00000240409.1	24.192893981933594
ENSG00000211753.4	24.189327239990234
ENSG00000273658.1	24.183509826660156
ENSG00000197353.3	24.161855697631836
ENSG00000206603.1	24.1187744140625
ENSG00000252835.1	24.09256935119629
ENSG00000237580.1	24.084978103637695
